"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","350","adminCanCreateUserWithInvalidData(String, String, String, String, List) [4] username=abc%, password=Password33!, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","2026-02-11","passed","2026-02-11","","iteration2.api.CreateUserTest","iteration2.api.CreateUserTest","adminCanCreateUserWithInvalidData"
"","906","userCanNotDeposit(int, String) [2] balance=-100, errorValue=Deposit amount must be at least 0.01","","2026-02-11","passed","2026-02-11","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanNotDeposit"
"","1321","userInvalidTransfer(String, String, int, int, double) [2] userAuthSender=Basic cGN3OGpVYzdHcEJNZ2M6T0RPYmx2aDg0MiUm, userAuthReceiver=Basic blpCRndiVEZUUERBNjpHUElzcmxnMDU0JSQ=, senderId=6, receiverId=7, transferBalance=-100","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userInvalidTransfer"
"","865","userInvalidTransferToUserWithoutAccount()","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userInvalidTransferToUserWithoutAccount"
"","347","adminCanCreateUserWithInvalidData(String, String, String, String, List) [2] username=ab, password=Password33!, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","2026-02-11","passed","2026-02-11","","iteration2.api.CreateUserTest","iteration2.api.CreateUserTest","adminCanCreateUserWithInvalidData"
"","622","userCanDepositMoney(double) [1] depositBalance=50.0","","2026-02-11","passed","2026-02-11","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositMoney"
"","1174","updateNameWithInvalidToken()","","2026-02-11","passed","2026-02-11","","iteration2.api.UpdateNameTest","iteration2.api.UpdateNameTest","updateNameWithInvalidToken"
"","896","userCanNotUpdateIncorrectName()","","2026-02-11","broken","2026-02-11","","iteration2.ui.UpdateNameTest","iteration2.ui.UpdateNameTest","userCanNotUpdateIncorrectName"
"","1085","userInvalidToken(String, int) [1] userAuth=Basic YWRtaW46YWRtaW4=, userId=4","","2026-02-11","passed","2026-02-11","","iteration2.api.DepositTest","iteration2.api.DepositTest","userInvalidToken"
"","840","userDontSelectAccountTest()","","2026-02-11","broken","2026-02-11","","iteration2.ui.DepositTest","iteration2.ui.DepositTest","userDontSelectAccountTest"
